"cff = 2.0, order = 3, 2024-07-18 12:01:13.422620"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.10576219236247653,0.0007041913771274721,2044324301.9147074,1402.0617337410404,"{'OE1': 41560.2969996807, 'OE2': 16245.97372066826, 'OE3': 16245.97372066826, 'OE4': 6027.9670132930205, 'OE5': 6027.96701329302, 'OE6': 6027.96701329302, 'OE7': 6027.96701329302, 'OE8': 5154.760226675829, 'OE9': 1402.0617337410404}","{'OE1': 9.434450896837365, 'OE2': 9.372654187260624, 'OE3': 2.6043183064720408, 'OE4': 2.6043224960075646, 'OE5': 5.2079109586703805, 'OE6': 5.2079109586703805, 'OE7': 5.2079109586703805, 'OE8': 0.22218902908535426, 'OE9': 6.159935129687806}","{'OE1': 49338, 'OE2': 19288, 'OE3': 19288, 'OE4': 19288, 'OE5': 19288, 'OE6': 19288, 'OE7': 19288, 'OE8': 19268, 'OE9': 5240}"
310,0.1181092174058449,0.0007450671063004906,1637474285.8709538,1004.7954148421954,"{'OE1': 35382.28101302114, 'OE2': 13802.073032706325, 'OE3': 13802.073032706325, 'OE4': 5177.94269839973, 'OE5': 5177.94269839973, 'OE6': 5177.94269839973, 'OE7': 5177.94269839973, 'OE8': 3825.812625332251, 'OE9': 1004.7954148421954}","{'OE1': 9.415335283798022, 'OE2': 9.17649424303486, 'OE3': 2.618436384624459, 'OE4': 2.618440148498795, 'OE5': 5.234395676718055, 'OE6': 5.234395676718055, 'OE7': 5.234395676718055, 'OE8': 0.21255620090644922, 'OE9': 6.044603178364703}","{'OE1': 49351, 'OE2': 19254, 'OE3': 19254, 'OE4': 19254, 'OE5': 19254, 'OE6': 19254, 'OE7': 19254, 'OE8': 19232, 'OE9': 5052}"
320,0.11893909200227881,0.0007260196598686264,1339189685.6191976,798.8641955291852,"{'OE1': 29942.43714078381, 'OE2': 11750.777905854475, 'OE3': 11750.777905854475, 'OE4': 4534.793267104414, 'OE5': 4534.793267104414, 'OE6': 4534.793267104414, 'OE7': 4534.793267104414, 'OE8': 2878.5716997086347, 'OE9': 798.8641955291852}","{'OE1': 9.449247054872998, 'OE2': 9.419185812438583, 'OE3': 2.6253751485932018, 'OE4': 2.6253704695176037, 'OE5': 5.248879393032294, 'OE6': 5.248879393032294, 'OE7': 5.248879393032294, 'OE8': 0.22590171268888015, 'OE9': 6.1146222268663575}","{'OE1': 49353, 'OE2': 19373, 'OE3': 19373, 'OE4': 19373, 'OE5': 19373, 'OE6': 19373, 'OE7': 19373, 'OE8': 19350, 'OE9': 5371}"
330,0.1227644965450736,0.0007623761187232958,1172312279.5583246,633.5372886759576,"{'OE1': 27039.274173916474, 'OE2': 10548.482461895484, 'OE3': 10548.482461895484, 'OE4': 4160.084473954782, 'OE5': 4160.084473954782, 'OE6': 4160.084473954782, 'OE7': 4160.084473954782, 'OE8': 2406.1166498490784, 'OE9': 633.5372886759576}","{'OE1': 9.38242545776821, 'OE2': 9.369961744372768, 'OE3': 2.6175874683030598, 'OE4': 2.6175773823889985, 'OE5': 5.2335975833948964, 'OE6': 5.2335975833948964, 'OE7': 5.2335975833948964, 'OE8': 0.2124885219537851, 'OE9': 5.606994002231469}","{'OE1': 49336, 'OE2': 19253, 'OE3': 19253, 'OE4': 19253, 'OE5': 19253, 'OE6': 19253, 'OE7': 19253, 'OE8': 19230, 'OE9': 5065}"
340,0.12926122828889675,0.0007615548574676723,1303002172.4603894,671.3262464085861,"{'OE1': 27095.86511008776, 'OE2': 10592.015642963343, 'OE3': 10592.015642963343, 'OE4': 4272.444101236102, 'OE5': 4272.444101236102, 'OE6': 4272.444101236102, 'OE7': 4272.444101236102, 'OE8': 2473.07048808566, 'OE9': 671.3262464085861}","{'OE1': 9.401834249599142, 'OE2': 9.401834249599142, 'OE3': 2.610694071568016, 'OE4': 2.610683476465873, 'OE5': 5.218739748871156, 'OE6': 5.218739748871156, 'OE7': 5.218739748871156, 'OE8': 0.20637117718201559, 'OE9': 6.151862401760653}","{'OE1': 49371, 'OE2': 19308, 'OE3': 19308, 'OE4': 19308, 'OE5': 19308, 'OE6': 19308, 'OE7': 19308, 'OE8': 19288, 'OE9': 5239}"
350,0.13882596641383316,0.0007956351374014048,1593883832.102701,746.987634260413,"{'OE1': 28862.523320092234, 'OE2': 11238.846515551979, 'OE3': 11238.846515551977, 'OE4': 4643.687002881806, 'OE5': 4643.687002881806, 'OE6': 4643.687002881806, 'OE7': 4643.687002881806, 'OE8': 2847.762356965136, 'OE9': 746.987634260413}","{'OE1': 9.44726326265087, 'OE2': 9.383559097845813, 'OE3': 2.6224175495664293, 'OE4': 2.6224294824270658, 'OE5': 5.243491254852494, 'OE6': 5.243491254852494, 'OE7': 5.243491254852494, 'OE8': 0.2309865394525623, 'OE9': 6.013177403637476}","{'OE1': 49324, 'OE2': 19216, 'OE3': 19216, 'OE4': 19216, 'OE5': 19216, 'OE6': 19216, 'OE7': 19216, 'OE8': 19190, 'OE9': 5032}"
360,0.14523598148571182,0.0007771237870656478,1791792084.4834075,815.9866037583981,"{'OE1': 29238.359757642716, 'OE2': 11396.476577706411, 'OE3': 11396.476577706411, 'OE4': 4820.505974034659, 'OE5': 4820.505974034659, 'OE6': 4820.505974034659, 'OE7': 4820.505974034659, 'OE8': 2990.3876793627687, 'OE9': 815.9866037583981}","{'OE1': 9.388815300373619, 'OE2': 9.380928745107434, 'OE3': 2.6028918652878885, 'OE4': 2.602879060438714, 'OE5': 5.204424797783686, 'OE6': 5.204424797783686, 'OE7': 5.204424797783686, 'OE8': 0.2225953342331266, 'OE9': 6.122943271716414}","{'OE1': 49330, 'OE2': 19237, 'OE3': 19237, 'OE4': 19237, 'OE5': 19237, 'OE6': 19237, 'OE7': 19237, 'OE8': 19207, 'OE9': 5243}"
370,0.14704481616354315,0.0007964183737066058,2044795656.5335622,867.9147894934094,"{'OE1': 30257.41736958825, 'OE2': 11825.291895972685, 'OE3': 11825.291895972685, 'OE4': 5062.719376163231, 'OE5': 5062.719376163231, 'OE6': 5062.719376163231, 'OE7': 5062.719376163231, 'OE8': 3239.4942581737864, 'OE9': 867.9147894934094}","{'OE1': 9.424641934572515, 'OE2': 9.355145042054648, 'OE3': 2.6203062484556905, 'OE4': 2.620305978172064, 'OE5': 5.238842212931561, 'OE6': 5.238842212931561, 'OE7': 5.238842212931561, 'OE8': 0.21878905942848415, 'OE9': 5.674585593576333}","{'OE1': 49356, 'OE2': 19298, 'OE3': 19298, 'OE4': 19298, 'OE5': 19298, 'OE6': 19298, 'OE7': 19298, 'OE8': 19270, 'OE9': 5164}"
380,0.15475356634561876,0.0007968833606864074,2422951782.898622,985.2208646525249,"{'OE1': 31647.739286583346, 'OE2': 12356.532578170547, 'OE3': 12356.532578170547, 'OE4': 5349.366843466302, 'OE5': 5349.366843466302, 'OE6': 5349.366843466302, 'OE7': 5349.366843466302, 'OE8': 3567.180550278492, 'OE9': 985.2208646525249}","{'OE1': 9.418105854246857, 'OE2': 9.510636614749405, 'OE3': 2.604368679728304, 'OE4': 2.604383863828934, 'OE5': 5.206486379760079, 'OE6': 5.206486379760079, 'OE7': 5.206486379760079, 'OE8': 0.21729826845832842, 'OE9': 5.6963494806783395}","{'OE1': 49344, 'OE2': 19274, 'OE3': 19274, 'OE4': 19274, 'OE5': 19274, 'OE6': 19274, 'OE7': 19274, 'OE8': 19247, 'OE9': 5316}"
390,0.16079846489969896,0.0008085997927170096,2755900109.5113883,1060.4248744945576,"{'OE1': 32989.2540441567, 'OE2': 12869.454823903916, 'OE3': 12869.454823903916, 'OE4': 5632.094608791708, 'OE5': 5632.094608791708, 'OE6': 5632.094608791708, 'OE7': 5632.094608791708, 'OE8': 3900.0275207584054, 'OE9': 1060.4248744945576}","{'OE1': 9.402892836525591, 'OE2': 9.332118568839446, 'OE3': 2.6275862665789624, 'OE4': 2.6275988682044136, 'OE5': 5.252875729369866, 'OE6': 5.252875729369866, 'OE7': 5.252875729369866, 'OE8': 0.24060190011005123, 'OE9': 6.01420671501306}","{'OE1': 49349, 'OE2': 19259, 'OE3': 19259, 'OE4': 19259, 'OE5': 19259, 'OE6': 19259, 'OE7': 19259, 'OE8': 19233, 'OE9': 5230}"
400,0.17013186267695346,0.0008313487302814337,3168690860.2617745,1138.2276788323184,"{'OE1': 33981.79954258874, 'OE2': 13361.263869616414, 'OE3': 13361.263869616414, 'OE4': 5909.4053638320975, 'OE5': 5909.4053638320975, 'OE6': 5909.4053638320975, 'OE7': 5909.4053638320975, 'OE8': 4208.075500730379, 'OE9': 1138.2276788323184}","{'OE1': 9.414555399445948, 'OE2': 9.14154088287674, 'OE3': 2.6172828056734163, 'OE4': 2.617294129742165, 'OE5': 5.231657322319256, 'OE6': 5.231657322319256, 'OE7': 5.231657322319256, 'OE8': 0.20732466899630342, 'OE9': 6.131080736994598}","{'OE1': 49329, 'OE2': 19403, 'OE3': 19403, 'OE4': 19403, 'OE5': 19403, 'OE6': 19403, 'OE7': 19403, 'OE8': 19387, 'OE9': 5245}"
410,0.17091043316941068,0.0008609433856815663,3471575631.8628454,1155.0134652436445,"{'OE1': 34636.34889831644, 'OE2': 13579.22357351601, 'OE3': 13579.22357351601, 'OE4': 6085.14478733178, 'OE5': 6085.144787331779, 'OE6': 6085.144787331779, 'OE7': 6085.144787331779, 'OE8': 4402.999529120084, 'OE9': 1155.0134652436445}","{'OE1': 9.412195929661832, 'OE2': 9.412195929661832, 'OE3': 2.6141534306913163, 'OE4': 2.6141570000483885, 'OE5': 5.226357696923162, 'OE6': 5.226357696923162, 'OE7': 5.226357696923162, 'OE8': 0.21225327155056528, 'OE9': 6.128022646065281}","{'OE1': 49351, 'OE2': 19355, 'OE3': 19355, 'OE4': 19355, 'OE5': 19355, 'OE6': 19355, 'OE7': 19355, 'OE8': 19320, 'OE9': 5069}"
