"cff = 2, order = 4, 2024-07-19 22:26:19.558118"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict,Ray Dict
300,0.08982850754716765,0.0005782682232518255,257408202.92634028,358.84291997829166,"{'OE1': 41562.19295104486, 'OE2': 16247.56704208341, 'OE3': 6700.698036340724, 'OE4': 2032.5021106172321, 'OE5': 2032.502110617232, 'OE6': 2032.502110617232, 'OE7': 2032.502110617232, 'OE8': 1739.104495922347, 'OE9': 498.2905013358321, 'OE10': 427.162986609546, 'OE11': 358.84291997829166}","{'OE1': 9.434451495224119, 'OE2': 9.372654828565148, 'OE3': 1.07385358631206, 'OE4': 1.0738574404673704, 'OE5': 2.1470888108039206, 'OE6': 2.1470888108039206, 'OE7': 2.1470888108039206, 'OE8': 0.21746087814394133, 'OE9': 6.115334695510839, 'OE10': 0.5495815292049615, 'OE11': 0.05121474113172875}","{'OE1': 49338, 'OE2': 19289, 'OE3': 7955, 'OE4': 7955, 'OE5': 7955, 'OE6': 7955, 'OE7': 7955, 'OE8': 7951, 'OE9': 2278, 'OE10': 2278, 'OE11': 2271}"
310,0.10055349520592927,0.0005994286399784194,175971548.24230433,231.02301968288413,"{'OE1': 35383.94576936363, 'OE2': 13797.697308941613, 'OE3': 6740.373091191758, 'OE4': 2069.760710064078, 'OE5': 2069.760710064078, 'OE6': 2069.760710064078, 'OE7': 2069.760710064078, 'OE8': 1529.1683568448511, 'OE9': 435.6834643307142, 'OE10': 322.98523470769, 'OE11': 231.02301968288413}","{'OE1': 9.378317140159533, 'OE2': 9.141584730579968, 'OE3': 1.2752072098080964, 'OE4': 1.2752150604485355, 'OE5': 2.5490446230095745, 'OE6': 2.5490446230095745, 'OE7': 2.5490446230095745, 'OE8': 0.23484310576164857, 'OE9': 6.121300448081146, 'OE10': 0.6446293736234443, 'OE11': 0.05146780434703535}","{'OE1': 49353, 'OE2': 19248, 'OE3': 9403, 'OE4': 9403, 'OE5': 9403, 'OE6': 9403, 'OE7': 9403, 'OE8': 9391, 'OE9': 2676, 'OE10': 2676, 'OE11': 2670}"
320,0.09856692872870099,0.0006735132859834181,116244247.10296021,132.54760272747362,"{'OE1': 29942.598277240853, 'OE2': 11750.852707277718, 'OE3': 6568.256127967432, 'OE4': 2087.3723797499056, 'OE5': 2087.3723797499056, 'OE6': 2087.3723797499056, 'OE7': 2087.3723797499056, 'OE8': 1324.945200937775, 'OE9': 344.4587943820485, 'OE10': 219.65392600710834, 'OE11': 132.54760272747362}","{'OE1': 9.449247450212981, 'OE2': 9.41918532104153, 'OE3': 1.476017058304241, 'OE4': 1.4760207603631073, 'OE5': 2.950539419258851, 'OE6': 2.950539419258851, 'OE7': 2.950539419258851, 'OE8': 0.2249950137956649, 'OE9': 6.104541805508658, 'OE10': 0.756162259698514, 'OE11': 0.05051689296831917}","{'OE1': 49353, 'OE2': 19373, 'OE3': 10829, 'OE4': 10829, 'OE5': 10829, 'OE6': 10829, 'OE7': 10829, 'OE8': 10815, 'OE9': 2812, 'OE10': 2812, 'OE11': 2797}"
330,0.10921910389066625,0.0006638231565981793,92976309.88706711,105.30208672361789,"{'OE1': 27039.789612124376, 'OE2': 10540.259144085923, 'OE3': 6707.121857899202, 'OE4': 2185.7871699938178, 'OE5': 2185.7871699938178, 'OE6': 2185.7871699938178, 'OE7': 2185.7871699938178, 'OE8': 1264.597309521085, 'OE9': 331.7934117705795, 'OE10': 193.0156644357213, 'OE11': 105.30208672361789}","{'OE1': 9.382423661535434, 'OE2': 9.369961141844176, 'OE3': 1.692899729038758, 'OE4': 1.692903538298367, 'OE5': 3.385301420982202, 'OE6': 3.385301420982202, 'OE7': 3.385301420982202, 'OE8': 0.21640969600477622, 'OE9': 5.713741973056425, 'OE10': 0.842048976303853, 'OE11': 0.043103197717154124}","{'OE1': 49337, 'OE2': 19238, 'OE3': 12242, 'OE4': 12242, 'OE5': 12242, 'OE6': 12242, 'OE7': 12242, 'OE8': 12231, 'OE9': 3210, 'OE10': 3210, 'OE11': 3196}"
340,0.11190234106175012,0.0006733478880679446,112801739.00794637,123.31427954474364,"{'OE1': 27095.77647334788, 'OE2': 10593.071154185303, 'OE3': 7520.206227660763, 'OE4': 2519.9011855230037, 'OE5': 2519.9011855230037, 'OE6': 2519.9011855230037, 'OE7': 2519.9011855230037, 'OE8': 1458.5326759714148, 'OE9': 386.7052092923252, 'OE10': 225.41917794979517, 'OE11': 123.31427954474364}","{'OE1': 9.401834123729625, 'OE2': 9.401834123729625, 'OE3': 1.865789916816233, 'OE4': 1.8657837708335343, 'OE5': 3.730197160714141, 'OE6': 3.730197160714141, 'OE7': 3.730197160714141, 'OE8': 0.2134618563155788, 'OE9': 6.148039014267526, 'OE10': 0.9395907746428434, 'OE11': 0.05327157104110811}","{'OE1': 49371, 'OE2': 19310, 'OE3': 13709, 'OE4': 13709, 'OE5': 13709, 'OE6': 13709, 'OE7': 13709, 'OE8': 13694, 'OE9': 3633, 'OE10': 3633, 'OE11': 3620}"
350,0.11967859020614924,0.0006803824201006137,166811550.11304978,176.1503137663422,"{'OE1': 28864.473535307574, 'OE2': 11238.425087848806, 'OE3': 8659.153482892147, 'OE4': 2984.431541505992, 'OE5': 2984.431541505992, 'OE6': 2984.431541505992, 'OE7': 2984.431541505992, 'OE8': 1830.5231101186027, 'OE9': 488.4826931088892, 'OE10': 302.1407100970124, 'OE11': 176.1503137663422}","{'OE1': 9.447263079445712, 'OE2': 9.38355872523614, 'OE3': 2.0447302328711885, 'OE4': 2.0447251416281667, 'OE5': 4.089337575337581, 'OE6': 4.089337575337581, 'OE7': 4.089337575337581, 'OE8': 0.2168686061049431, 'OE9': 6.018987322293189, 'OE10': 0.9573652198945533, 'OE11': 0.04551548862563745}","{'OE1': 49324, 'OE2': 19214, 'OE3': 14805, 'OE4': 14805, 'OE5': 14805, 'OE6': 14805, 'OE7': 14805, 'OE8': 14785, 'OE9': 3944, 'OE10': 3944, 'OE11': 3930}"
360,0.12272131415812737,0.0006445079557971036,203186167.98763683,220.46469918889989,"{'OE1': 29238.195703536065, 'OE2': 11397.595810475945, 'OE3': 9487.24877241258, 'OE4': 3360.75616187547, 'OE5': 3360.7561618754703, 'OE6': 3360.7561618754703, 'OE7': 3360.7561618754703, 'OE8': 2084.657071406344, 'OE9': 596.1548136746948, 'OE10': 372.829649303338, 'OE11': 220.46469918889989}","{'OE1': 9.388814972207124, 'OE2': 9.380928772297649, 'OE3': 2.199068236275666, 'OE4': 2.19906599391037, 'OE5': 4.39826253023282, 'OE6': 4.39826253023282, 'OE7': 4.39826253023282, 'OE8': 0.22528489255656342, 'OE9': 6.117360191665879, 'OE10': 1.0986664484842832, 'OE11': 0.04721291828239321}","{'OE1': 49330, 'OE2': 19239, 'OE3': 16015, 'OE4': 16015, 'OE5': 16015, 'OE6': 16015, 'OE7': 16015, 'OE8': 15988, 'OE9': 4574, 'OE10': 4574, 'OE11': 4563}"
370,0.12814635733059276,0.0006918994506316119,256987492.8930005,254.11101605623037,"{'OE1': 30257.42976725364, 'OE2': 11825.289919715955, 'OE3': 10617.85822986433, 'OE4': 3813.3614162270464, 'OE5': 3813.3614162270464, 'OE6': 3813.3614162270464, 'OE7': 3813.3614162270464, 'OE8': 2440.1950196990583, 'OE9': 645.4993215277689, 'OE10': 416.0980837035995, 'OE11': 254.11101605623037}","{'OE1': 9.424640231210187, 'OE2': 9.355145588036738, 'OE3': 2.3590961599199574, 'OE4': 2.359103107517324, 'OE5': 4.717811943407952, 'OE6': 4.717811943407952, 'OE7': 4.717811943407952, 'OE8': 0.2047472185526356, 'OE9': 5.67722678715581, 'OE10': 1.2094308233655182, 'OE11': 0.04927314033859778}","{'OE1': 49356, 'OE2': 19298, 'OE3': 17328, 'OE4': 17328, 'OE5': 17328, 'OE6': 17328, 'OE7': 17328, 'OE8': 17303, 'OE9': 4578, 'OE10': 4578, 'OE11': 4562}"
380,0.13100548670621492,0.0006843744274240299,348085705.02048063,341.25160410949155,"{'OE1': 31647.105025361616, 'OE2': 12356.537292831734, 'OE3': 11803.0430821688, 'OE4': 4292.986492874863, 'OE5': 4292.986492874863, 'OE6': 4292.986492874863, 'OE7': 4292.986492874863, 'OE8': 2862.9419894940793, 'OE9': 795.6867032825617, 'OE10': 534.1907402831862, 'OE11': 341.25160410949155}","{'OE1': 9.418105664563049, 'OE2': 9.308282844752974, 'OE3': 2.5031081246626528, 'OE4': 2.5031118711887714, 'OE5': 5.005966990928471, 'OE6': 5.005966990928471, 'OE7': 5.005966990928471, 'OE8': 0.21717208617215739, 'OE9': 5.6948339838182145, 'OE10': 1.2695664353284912, 'OE11': 0.054722836204770336}","{'OE1': 49343, 'OE2': 19274, 'OE3': 18411, 'OE4': 18411, 'OE5': 18411, 'OE6': 18411, 'OE7': 18411, 'OE8': 18385, 'OE9': 5110, 'OE10': 5110, 'OE11': 5093}"
390,0.1366861573353617,0.0007056495091791686,438453846.9260988,409.0789094177877,"{'OE1': 32989.2589040672, 'OE2': 12869.45356329425, 'OE3': 12863.428599798994, 'OE4': 4736.765195150218, 'OE5': 4736.765195150218, 'OE6': 4736.765195150218, 'OE7': 4736.765195150218, 'OE8': 3280.059218421392, 'OE9': 882.0859284156702, 'OE10': 614.7129635002209, 'OE11': 409.0789094177877}","{'OE1': 9.402895146097247, 'OE2': 9.332118715347027, 'OE3': 2.61268738053803, 'OE4': 2.612679699680667, 'OE5': 5.223852111425675, 'OE6': 5.223852111425675, 'OE7': 5.223852111425675, 'OE8': 0.22573637705180144, 'OE9': 6.008555248430051, 'OE10': 1.3221583924698073, 'OE11': 0.04701562410496585}","{'OE1': 49349, 'OE2': 19259, 'OE3': 19250, 'OE4': 19250, 'OE5': 19250, 'OE6': 19250, 'OE7': 19250, 'OE8': 19224, 'OE9': 5170, 'OE10': 5170, 'OE11': 5149}"
400,0.1485803933260854,0.0007295516172888483,527833069.0254621,466.6414868812278,"{'OE1': 33981.94267686824, 'OE2': 13361.318273886522, 'OE3': 13361.318273886522, 'OE4': 4979.925948088751, 'OE5': 4979.925948088751, 'OE6': 4979.925948088751, 'OE7': 4979.925948088751, 'OE8': 3546.205665316639, 'OE9': 949.3435977600799, 'OE10': 679.7665020741335, 'OE11': 466.6414868812278}","{'OE1': 9.414555544276627, 'OE2': 9.141541366118705, 'OE3': 2.6172002806086683, 'OE4': 2.6172102285923806, 'OE5': 5.231890166844592, 'OE6': 5.231890166844592, 'OE7': 5.231890166844592, 'OE8': 0.2080698324376814, 'OE9': 6.124131146024855, 'OE10': 1.3043791751094702, 'OE11': 0.04762847629830298}","{'OE1': 49329, 'OE2': 19403, 'OE3': 19403, 'OE4': 19403, 'OE5': 19403, 'OE6': 19403, 'OE7': 19403, 'OE8': 19387, 'OE9': 5191, 'OE10': 5191, 'OE11': 5174}"
410,0.14483820522877977,0.0007276238489846879,584143961.6898218,506.1632730533871,"{'OE1': 34636.35622734949, 'OE2': 13579.224048045284, 'OE3': 13579.224048045284, 'OE4': 5136.802815133995, 'OE5': 5136.802815133995, 'OE6': 5136.802815133995, 'OE7': 5136.802815133995, 'OE8': 3716.8105090839176, 'OE9': 993.6640444831655, 'OE10': 723.4325925651311, 'OE11': 506.1632730533871}","{'OE1': 9.412194900309219, 'OE2': 9.412194900309219, 'OE3': 2.61400388729073, 'OE4': 2.613998173541574, 'OE5': 5.226268872261244, 'OE6': 5.226268872261244, 'OE7': 5.226268872261244, 'OE8': 0.21227433154014108, 'OE9': 5.733870543734876, 'OE10': 1.3053606564898041, 'OE11': 0.0473970530668453}","{'OE1': 49351, 'OE2': 19355, 'OE3': 19355, 'OE4': 19355, 'OE5': 19355, 'OE6': 19355, 'OE7': 19355, 'OE8': 19320, 'OE9': 5166, 'OE10': 5166, 'OE11': 5151}"
